,Master Datset,,,,,,,,,,,,,,,
,,X1,X2,X3,X4,,,,,,,,,,,
,0,0.0001,0.0001,0.18,0.058148148,,,,,,,,,,,
,1,0.001980198,0.00028547,0.0001,0.234444444,,,,,,,,,,,
,2,0.005940594,0.000354288,0.0001,0.053333333,,Individual 1,,,,,Individual 2,,,,
,3,0.007920792,0.000853147,0.0001,0.053333333,,,log(X4),X2^2,X3*X4,,,sqrt(X2),X2*X4,X3^2,log(X2)
,4,0.011881188,0.001114817,0.125,0.264074074,,0,-1.235464112,0.00000001,0.010466667,,0,0.01,5.81481E-06,0.0324,-4
,5,0.01980198,0.002972618,0.125,0.264074074,,1,-0.629960054,8.14933E-08,2.34444E-05,,1,0.016895867,6.69269E-05,0.00000001,-3.544439015
,6,0.021782178,0.001511674,0.125,0.264074074,,2,-1.273001272,1.2552E-07,5.33333E-06,,2,0.018822536,1.88954E-05,0.00000001,-3.450643726
,7,0.023762376,0.001189482,0.125,0.264074074,,3,-1.273001272,7.2786E-07,5.33333E-06,,3,0.029208679,4.55012E-05,0.00000001,-3.068976166
,8,0.025742574,0.008478972,0.0001,0.274074074,,4,-0.578274234,1.24282E-06,0.033009259,,4,0.033388871,0.000294394,0.015625,-2.952796519
,9,0.027722772,0.008590495,0.0001,0.274074074,,5,-0.578274234,8.83646E-06,0.033009259,,5,0.05452172,0.000784991,0.015625,-2.526860901
,10,0.02970297,0.008446739,0.0001,0.274074074,,6,-0.578274234,2.28516E-06,0.033009259,,6,0.038880246,0.000399194,0.015625,-2.820541987
,11,0.031683168,0.014247812,0.0001,0.274074074,,7,-0.578274234,1.41487E-06,0.033009259,,7,0.034488874,0.000314111,0.015625,-2.924641981
,12,0.035643564,0.010831144,0.0001,0.274074074,,8,-0.562132044,7.1893E-05,2.74074E-05,,8,0.092081335,0.002323866,0.00000001,-2.07165679
,13,0.03960396,0.016938768,0.0001,0.274074074,,9,-0.562132044,7.37966E-05,2.74074E-05,,9,0.092684921,0.002354432,0.00000001,-2.065981829
,14,0.041584158,0.011502047,0.0001,0.274074074,,10,-0.562132044,7.13474E-05,2.74074E-05,,10,0.091906145,0.002315032,0.00000001,-2.073310902
,15,0.043564356,0.01667601,0.0001,0.274074074,,11,-0.562132044,0.000203,2.74074E-05,,11,0.1193642,0.003904956,0.00000001,-1.846251818
,16,0.045544554,0.013356992,0.0001,0.274074074,,12,-0.562132044,0.000117314,2.74074E-05,,12,0.104072784,0.002968536,0.00000001,-1.965325656
,17,0.053465347,0.012912807,0.0001,0.274074074,,13,-0.562132044,0.000286922,2.74074E-05,,13,0.130149022,0.004642477,0.00000001,-1.771118183
,18,0.059405941,0.015293403,0.0001,0.274074074,,14,-0.562132044,0.000132297,2.74074E-05,,14,0.107247598,0.003152413,0.00000001,-1.939224853
,19,0.061386139,0.018338647,0.0001,0.274074074,,15,-0.562132044,0.000278089,2.74074E-05,,15,0.129135627,0.004570462,0.00000001,-1.777907851
,20,0.067326733,0.021848885,0.0001,0.274074074,,16,-0.562132044,0.000178409,2.74074E-05,,16,0.115572455,0.003660805,0.00000001,-1.874291321
,21,0.075247525,0.002294779,0.0001,0.193333333,,17,-0.562132044,0.000166741,2.74074E-05,,17,0.113634531,0.003539066,0.00000001,-1.888979355
,22,0.077227723,0.000289822,0.75,0.081851852,,18,-0.562132044,0.000233888,2.74074E-05,,18,0.123666501,0.004191525,0.00000001,-1.815495856
,23,0.079207921,0.00037088,0.75,0.081851852,,19,-0.562132044,0.000336306,2.74074E-05,,19,0.135420261,0.005026148,0.00000001,-1.73663271
,24,0.083168317,0.001838489,0.0001,0.228518519,,20,-0.562132044,0.000477374,2.74074E-05,,20,0.147813683,0.005988213,0.00000001,-1.660570724
,25,0.085148515,0.00208139,0.0001,0.228518519,,21,-0.713693261,5.26601E-06,1.93333E-05,,21,0.047903851,0.000443657,0.00000001,-2.639259147
,26,0.087128713,0.001582667,0.0001,0.228518519,,22,-1.08697149,8.3997E-08,0.061388889,,22,0.017024172,2.37225E-05,0.5625,-3.537868004
,27,0.089108911,0.00224541,0.0001,0.228518519,,23,-1.08697149,1.37552E-07,0.061388889,,23,0.019258251,3.03572E-05,0.5625,-3.430766316
,28,0.091089109,0.002475799,0.0001,0.228518519,,24,-0.6410786,3.38004E-06,2.28519E-05,,24,0.042877603,0.000420129,0.00000001,-2.735539012
,29,0.093069307,0.003032187,0.0001,0.228518519,,25,-0.6410786,4.33219E-06,2.28519E-05,,25,0.045622255,0.000475636,0.00000001,-2.681646497
,30,0.097029703,0.002902984,0.0001,0.228518519,,26,-0.6410786,2.50484E-06,2.28519E-05,,26,0.039782749,0.000361669,0.00000001,-2.800610419
,31,0.099009901,0.001120801,0.21,0.181481481,,27,-0.6410786,5.04187E-06,2.28519E-05,,27,0.047385756,0.000513118,0.00000001,-2.64870438
,32,0.100990099,0.000503891,0.21,0.181481481,,28,-0.6410786,6.12958E-06,2.28519E-05,,28,0.049757401,0.000565766,0.00000001,-2.606284627
