,ind,R2
0,"{'X37*X40', 'X28*X17', 'X24*X13', 'np.log(X36)', 'X30*X29', 'np.exp(X13)', 'np.exp(X8)', 'np.sqrt(X34)', 'X21*X38', 'X3*X17', 'np.log(X11)', 'X15*X8', 'X26*X32', 'X29*X26', 'np.exp(X37)', 'np.sqrt(X5)', 'X13*X9', 'np.sqrt(X12)', 'np.sqrt(X13)', 'np.log(X17)', 'np.exp(X20)', 'np.log(X24)', 'np.exp(X34)', 'X17*X6', 'np.exp(X21)', 'np.sqrt(X9)', 'np.log(X30)', 'np.exp(X2)', 'np.log(X25)', 'np.sqrt(X25)', 'X23*X12', 'np.exp(X15)', 'X36*X28', 'np.sqrt(X3)', 'X11*X28', 'X9*X6', 'np.log(X2)', 'X26*X25', 'np.log(X32)', 'X1*X15', 'np.log(X28)', 'np.log(X4)', 'np.sqrt(X37)', 'np.log(X5)', 'np.exp(X19)', 'np.sqrt(X36)', 'X39*X7', 'X7*X30', 'np.sqrt(X23)', 'X17*X37', 'X27*X35', 'np.exp(X10)', 'np.exp(X30)', 'np.sqrt(X39)', 'X2*X11', 'np.log(X29)', 'X37*X31', 'np.exp(X28)', 'np.log(X3)', 'X26*X2', 'np.log(X20)', 'np.sqrt(X11)', 'X3*X34', 'X9*X13', 'np.sqrt(X10)', 'np.exp(X26)', 'X28*X26', 'np.exp(X17)', 'X39*X24', 'np.sqrt(X2)', 'np.log(X7)', 'X27*X14', 'np.log(X37)', 'np.log(X13)', 'np.sqrt(X27)', 'X15*X11', 'np.exp(X14)', 'np.exp(X18)', 'np.sqrt(X7)', 'np.sqrt(X40)', 'np.sqrt(X28)', 'np.log(X12)', 'np.sqrt(X31)', 'np.exp(X36)', 'np.log(X31)', 'np.sqrt(X18)', 'np.log(X9)', 'X18*X14', 'np.sqrt(X1)', 'X36*X22', 'np.exp(X38)', 'np.log(X18)', 'np.log(X27)', 'X34*X22', 'X22*X13', 'X25*X1', 'np.sqrt(X4)', 'np.sqrt(X8)', 'np.exp(X27)', 'np.exp(X39)', 'X26*X14', 'np.exp(X22)', 'np.log(X10)', 'X4*X32', 'np.sqrt(X35)', 'np.exp(X33)', 'X10*X23', 'np.exp(X3)', 'np.sqrt(X24)', 'X14*X25', 'np.sqrt(X21)', 'X7*X15', 'np.sqrt(X6)', 'np.sqrt(X16)', 'np.exp(X1)', 'np.exp(X24)', 'np.log(X19)', 'np.log(X22)', 'X23*X8', 'np.log(X16)', 'np.sqrt(X15)', 'X39*X8', 'np.log(X21)', 'X17*X18', 'np.sqrt(X38)', 'X32*X32', 'np.log(X23)', 'np.log(X1)', 'np.exp(X40)'}",0.840350439
1,"{'X7*X17', 'X32*X6', 'np.log(X36)', 'X9*X30', 'X4*X9', 'X1*X17', 'np.exp(X13)', 'X21*X27', 'np.exp(X14)', 'X7*X35', 'np.exp(X18)', 'np.sqrt(X20)', 'np.exp(X5)', 'np.sqrt(X29)', 'np.sqrt(X7)', 'np.sqrt(X14)', 'X7*X23', 'X35*X1', 'X5*X8', 'np.log(X37)', 'np.exp(X36)', 'np.log(X34)', 'np.log(X31)', 'np.sqrt(X18)', 'np.exp(X7)', 'np.exp(X37)', 'X38*X10', 'np.sqrt(X5)', 'np.sqrt(X12)', 'X2*X39', 'X5*X13', 'np.sqrt(X13)', 'X20*X21', 'np.log(X17)', 'X3*X9', 'np.exp(X20)', 'X30*X16', 'X10*X26', 'X6*X27', 'X24*X18', 'np.exp(X34)', 'np.exp(X21)', 'np.exp(X38)', 'np.sqrt(X9)', 'X17*X22', 'X35*X12', 'np.sqrt(X30)', 'X12*X7', 'X17*X26', 'np.log(X27)', 'np.log(X30)', 'X21*X1', 'np.log(X25)', 'np.exp(X2)', 'np.exp(X15)', 'np.sqrt(X3)', 'np.log(X33)', 'X40*X17', 'np.sqrt(X32)', 'X10*X34', 'X22*X25', 'X7*X26', 'X39*X6', 'np.log(X40)', 'np.exp(X25)', 'X28*X3', 'np.exp(X19)', 'X15*X9', 'np.log(X4)', 'np.sqrt(X37)', 'np.log(X5)', 'np.sqrt(X4)', 'X38*X27', 'X34*X26', 'X1*X18', 'X29*X17', 'np.sqrt(X23)', 'X27*X23', 'X2*X17', 'X21*X28', 'np.exp(X30)', 'np.exp(X4)', 'np.exp(X23)', 'np.sqrt(X35)', 'np.sqrt(X39)', 'X11*X1', 'np.log(X29)', 'X9*X20', 'np.sqrt(X17)', 'np.exp(X3)', 'X13*X3', 'X28*X28', 'np.sqrt(X21)', 'np.log(X3)', 'X25*X33', 'X13*X30', 'X20*X6', 'np.sqrt(X11)', 'X7*X27', 'X7*X1', 'np.exp(X24)', 'np.log(X19)', 'np.exp(X35)', 'np.log(X22)', 'np.sqrt(X10)', 'X6*X12', 'np.sqrt(X15)', 'np.exp(X26)', 'np.exp(X17)', 'X9*X7', 'np.sqrt(X2)', 'X33*X13', 'X35*X37', 'np.log(X15)', 'X35*X14', 'X4*X34', 'X3*X14', 'np.sqrt(X19)', 'np.exp(X40)', 'X35*X27', 'X35*X4'}",0.842939567
2,"{'X25*X36', 'np.log(X36)', 'np.exp(X13)', 'np.sqrt(X34)', 'np.exp(X8)', 'X7*X35', 'X1*X30', 'X16*X13', 'np.sqrt(X14)', 'X2*X34', 'X7*X23', 'X33*X35', 'np.sqrt(X33)', 'X25*X27', 'np.log(X34)', 'np.log(X26)', 'np.exp(X7)', 'np.exp(X37)', 'np.sqrt(X5)', 'np.sqrt(X13)', 'X30*X17', 'np.log(X17)', 'X8*X3', 'X8*X17', 'np.log(X24)', 'X31*X7', 'np.exp(X32)', 'np.sqrt(X9)', 'np.log(X30)', 'np.exp(X2)', 'np.exp(X6)', 'np.sqrt(X25)', 'np.sqrt(X3)', 'X10*X13', 'X2*X32', 'np.log(X6)', 'np.log(X2)', 'np.log(X32)', 'np.log(X28)', 'np.exp(X19)', 'X21*X2', 'np.log(X5)', 'np.log(X4)', 'X19*X4', 'X4*X36', 'X8*X11', 'np.sqrt(X23)', 'X13*X15', 'X27*X35', 'np.exp(X10)', 'X9*X35', 'np.sqrt(X22)', 'X6*X29', 'X2*X12', 'np.exp(X30)', 'np.exp(X23)', 'np.log(X29)', 'np.sqrt(X17)', 'np.exp(X28)', 'X34*X39', 'np.log(X3)', 'np.exp(X29)', 'np.log(X20)', 'np.sqrt(X11)', 'np.log(X14)', 'np.sqrt(X10)', 'X20*X16', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'X33*X33', 'np.log(X13)', 'np.sqrt(X19)', 'X15*X24', 'np.sqrt(X27)', 'X27*X20', 'np.exp(X12)', 'np.exp(X14)', 'np.exp(X18)', 'np.sqrt(X20)', 'X22*X9', 'np.sqrt(X29)', 'np.sqrt(X7)', 'np.sqrt(X40)', 'np.log(X12)', 'np.sqrt(X28)', 'np.sqrt(X31)', 'X5*X30', 'X7*X38', 'np.exp(X36)', 'np.log(X31)', 'X27*X30', 'np.sqrt(X18)', 'np.log(X9)', 'np.exp(X11)', 'X29*X9', 'X38*X20', 'np.sqrt(X1)', 'X7*X13', 'np.sqrt(X30)', 'np.log(X27)', 'X1*X10', 'X2*X31', 'X6*X24', 'np.log(X33)', 'np.sqrt(X32)', 'X3*X29', 'X39*X10', 'X28*X4', 'X21*X35', 'X18*X31', 'X22*X35', 'np.exp(X27)', 'X28*X19', 'np.exp(X39)', 'X34*X26', 'X20*X5', 'X39*X40', 'np.exp(X22)', 'np.sqrt(X35)', 'X32*X17', 'np.exp(X33)', 'np.exp(X3)', 'np.sqrt(X24)', 'X15*X25', 'np.sqrt(X6)', 'np.sqrt(X16)', 'np.log(X22)', 'X15*X14', 'np.log(X16)', 'np.sqrt(X15)', 'np.log(X21)', 'np.exp(X31)', 'X18*X22', 'X17*X18', 'X40*X33', 'X27*X38', 'np.log(X1)', 'X11*X38', 'X3*X13', 'np.exp(X40)'}",0.841079428
3,"{'X3*X25', 'np.log(X36)', 'np.exp(X16)', 'np.exp(X13)', 'np.sqrt(X34)', 'np.exp(X8)', 'X34*X33', 'X14*X12', 'np.exp(X5)', 'np.log(X11)', 'X20*X33', 'X30*X6', 'X33*X35', 'X12*X28', 'np.sqrt(X33)', 'np.log(X34)', 'np.log(X26)', 'X18*X27', 'np.exp(X37)', 'np.exp(X7)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'np.sqrt(X13)', 'np.log(X17)', 'np.log(X24)', 'np.exp(X32)', 'X33*X4', 'np.sqrt(X9)', 'X10*X27', 'np.log(X30)', 'X38*X2', 'np.log(X25)', 'np.exp(X6)', 'np.sqrt(X25)', 'np.exp(X15)', 'X3*X38', 'X38*X5', 'np.exp(X2)', 'np.sqrt(X3)', 'np.log(X6)', 'np.log(X2)', 'X17*X7', 'X22*X1', 'np.log(X32)', 'np.exp(X25)', 'np.log(X40)', 'np.log(X28)', 'np.exp(X19)', 'np.sqrt(X37)', 'np.log(X5)', 'X9*X33', 'np.sqrt(X36)', 'X8*X37', 'X34*X25', 'X7*X30', 'np.sqrt(X23)', 'X27*X35', 'np.exp(X10)', 'np.sqrt(X22)', 'np.exp(X30)', 'np.exp(X4)', 'np.exp(X23)', 'X15*X29', 'np.sqrt(X39)', 'np.log(X35)', 'np.log(X29)', 'np.sqrt(X17)', 'X13*X35', 'np.log(X3)', 'np.exp(X29)', 'np.log(X20)', 'np.exp(X9)', 'X3*X34', 'np.log(X14)', 'np.sqrt(X10)', 'X36*X6', 'np.exp(X26)', 'X20*X26', 'np.exp(X17)', 'np.sqrt(X2)', 'X6*X7', 'np.log(X15)', 'np.log(X38)', 'np.log(X37)', 'X30*X21', 'X14*X6', 'X16*X30', 'np.sqrt(X27)', 'np.exp(X12)', 'np.exp(X14)', 'np.exp(X18)', 'np.sqrt(X20)', 'X29*X21', 'np.sqrt(X7)', 'np.sqrt(X40)', 'np.sqrt(X28)', 'np.log(X12)', 'np.sqrt(X31)', 'X27*X5', 'X28*X29', 'np.exp(X36)', 'np.log(X9)', 'np.exp(X11)', 'X18*X6', 'X31*X40', 'np.sqrt(X1)', 'X3*X12', 'X10*X15', 'X26*X16', 'np.exp(X38)', 'X24*X39', 'X8*X28', 'np.log(X18)', 'np.sqrt(X30)', 'np.log(X8)', 'np.log(X27)', 'X21*X1', 'X15*X23', 'X11*X34', 'np.log(X33)', 'X11*X14', 'np.sqrt(X32)', 'X10*X34', 'X12*X19', 'X29*X39', 'X28*X3', 'np.sqrt(X8)', 'np.sqrt(X4)', 'np.exp(X27)', 'np.sqrt(X26)', 'np.exp(X39)', 'X21*X14', 'X33*X36', 'np.exp(X22)', 'X25*X15', 'np.log(X10)', 'X8*X34', 'X21*X3', 'np.exp(X33)', 'X20*X30', 'np.sqrt(X24)', 'X28*X28', 'np.sqrt(X21)', 'np.exp(X1)', 'X7*X27', 'X7*X19', 'np.exp(X24)', 'np.sqrt(X16)', 'np.log(X19)', 'np.log(X22)', 'np.exp(X35)', 'np.log(X16)', 'X25*X7', 'np.sqrt(X15)', 'X34*X19', 'np.log(X21)', 'X40*X14', 'X10*X33', 'np.sqrt(X38)', 'np.log(X1)', 'np.exp(X40)'}",0.842071746
4,"{'X6*X31', 'np.log(X36)', 'np.exp(X13)', 'np.sqrt(X34)', 'np.exp(X8)', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X14)', 'X35*X13', 'X3*X15', 'np.sqrt(X33)', 'X17*X31', 'np.log(X34)', 'X25*X19', 'np.log(X26)', 'np.exp(X7)', 'np.exp(X37)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'X32*X28', 'np.sqrt(X13)', 'X31*X11', 'np.log(X17)', 'np.exp(X20)', 'np.exp(X34)', 'X31*X7', 'np.exp(X32)', 'np.exp(X21)', 'X24*X23', 'X15*X17', 'X17*X26', 'np.log(X30)', 'X36*X28', 'np.exp(X6)', 'np.exp(X2)', 'np.sqrt(X25)', 'X33*X6', 'np.sqrt(X3)', 'X7*X5', 'X2*X32', 'np.log(X6)', 'np.log(X2)', 'X16*X7', 'np.log(X32)', 'np.exp(X25)', 'np.log(X40)', 'np.log(X28)', 'np.exp(X19)', 'np.log(X4)', 'np.sqrt(X37)', 'np.log(X5)', 'X32*X15', 'X33*X10', 'np.sqrt(X36)', 'np.sqrt(X23)', 'np.exp(X10)', 'np.sqrt(X22)', 'X15*X1', 'np.exp(X30)', 'np.exp(X4)', 'np.exp(X23)', 'X17*X4', 'X9*X2', 'np.log(X35)', 'np.sqrt(X39)', 'np.log(X29)', 'X18*X17', 'X39*X19', 'np.exp(X28)', 'np.log(X3)', 'np.exp(X29)', 'X8*X39', 'np.log(X20)', 'X4*X7', 'np.sqrt(X11)', 'np.exp(X9)', 'X36*X20', 'np.log(X14)', 'np.sqrt(X10)', 'np.exp(X26)', 'X5*X22', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'X21*X13', 'X12*X11', 'X24*X12', 'np.log(X15)', 'np.log(X38)', 'X14*X10', 'X2*X38', 'np.log(X39)', 'np.log(X13)', 'np.sqrt(X19)', 'X1*X35', 'X35*X27', 'X8*X9', 'np.sqrt(X27)', 'X23*X1', 'X36*X4', 'X16*X10', 'np.exp(X12)', 'X29*X8', 'np.exp(X14)', 'X35*X32', 'X29*X21', 'np.sqrt(X7)', 'np.sqrt(X29)', 'np.sqrt(X40)', 'np.log(X12)', 'np.sqrt(X28)', 'X26*X3', 'np.sqrt(X31)', 'X27*X27', 'X2*X13', 'X7*X38', 'np.exp(X36)', 'np.log(X31)', 'np.sqrt(X18)', 'np.exp(X11)', 'X27*X1', 'X18*X1', 'X19*X37', 'X30*X19', 'X12*X5', 'X22*X19', 'np.sqrt(X1)', 'X30*X16', 'X31*X35', 'X20*X1', 'X36*X29', 'np.log(X18)', 'np.exp(X38)', 'X27*X15', 'np.sqrt(X30)', 'np.log(X8)', 'np.log(X27)', 'X21*X1', 'X32*X1', 'X40*X17', 'np.sqrt(X32)', 'X30*X40', 'X28*X35', 'X28*X7', 'np.sqrt(X8)', 'X18*X31', 'np.exp(X27)', 'np.sqrt(X26)', 'X31*X37', 'np.exp(X39)', 'X23*X23', 'X5*X37', 'X21*X15', 'np.exp(X22)', 'np.log(X10)', 'X29*X37', 'X37*X36', 'np.sqrt(X35)', 'X37*X17', 'np.exp(X3)', 'np.sqrt(X24)', 'X11*X31', 'X4*X19', 'np.sqrt(X6)', 'np.sqrt(X16)', 'X23*X13', 'np.exp(X24)', 'np.exp(X35)', 'np.log(X22)', 'np.sqrt(X15)', 'X33*X18', 'X34*X17', 'np.log(X21)', 'X39*X30', 'np.exp(X31)', 'X18*X22', 'np.sqrt(X38)', 'np.log(X23)', 'np.log(X1)', 'X11*X38', 'X6*X32', 'np.exp(X40)'}",0.837628551
5,"{'X5*X2', 'np.log(X36)', 'np.exp(X16)', 'X1*X14', 'X21*X8', 'X1*X37', 'np.exp(X12)', 'np.exp(X18)', 'np.sqrt(X20)', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X7)', 'np.sqrt(X29)', 'X1*X39', 'np.sqrt(X14)', 'np.sqrt(X31)', 'X1*X9', 'X22*X2', 'np.sqrt(X33)', 'X19*X7', 'np.log(X34)', 'np.log(X26)', 'np.log(X31)', 'X14*X29', 'X29*X38', 'X6*X18', 'X37*X28', 'np.exp(X37)', 'np.exp(X7)', 'X34*X3', 'np.sqrt(X5)', 'X2*X14', 'np.sqrt(X13)', 'np.log(X17)', 'X15*X16', 'np.exp(X38)', 'np.exp(X21)', 'X1*X13', 'X16*X9', 'np.sqrt(X9)', 'X7*X8', 'X14*X2', 'np.log(X8)', 'X15*X23', 'np.exp(X2)', 'X1*X10', 'np.sqrt(X25)', 'np.exp(X6)', 'X29*X19', 'np.sqrt(X3)', 'np.log(X6)', 'np.log(X2)', 'X26*X25', 'np.log(X32)', 'np.log(X40)', 'np.exp(X25)', 'np.sqrt(X4)', 'X1*X15', 'np.log(X4)', 'np.log(X5)', 'np.sqrt(X8)', 'np.sqrt(X26)', 'X25*X17', 'np.exp(X39)', 'np.sqrt(X36)', 'X14*X26', 'np.sqrt(X23)', 'X22*X12', 'np.log(X10)', 'np.exp(X30)', 'np.sqrt(X35)', 'X31*X20', 'X8*X38', 'np.exp(X33)', 'X3*X24', 'np.sqrt(X39)', 'np.exp(X3)', 'np.exp(X28)', 'X23*X17', 'np.log(X3)', 'X3*X20', 'np.exp(X29)', 'np.sqrt(X6)', 'X18*X38', 'X31*X9', 'np.sqrt(X16)', 'np.exp(X24)', 'np.log(X19)', 'np.exp(X35)', 'np.log(X16)', 'np.sqrt(X10)', 'X33*X18', 'np.log(X7)', 'np.sqrt(X2)', 'np.log(X15)', 'np.log(X38)', 'np.sqrt(X38)', 'np.log(X37)', 'np.log(X13)', 'np.exp(X40)', 'X30*X21'}",0.84086972
6,"{'np.exp(X13)', 'X4*X13', 'X6*X1', 'np.log(X11)', 'X5*X15', 'X32*X34', 'np.sqrt(X33)', 'np.log(X34)', 'X4*X12', 'np.log(X26)', 'X10*X38', 'X16*X15', 'np.exp(X7)', 'X14*X31', 'np.sqrt(X5)', 'np.sqrt(X12)', 'X23*X4', 'X37*X26', 'X3*X9', 'np.log(X24)', 'np.exp(X32)', 'np.exp(X21)', 'X15*X17', 'np.log(X30)', 'np.log(X25)', 'np.exp(X6)', 'np.exp(X2)', 'np.exp(X15)', 'X11*X10', 'np.sqrt(X3)', 'np.log(X2)', 'np.exp(X25)', 'np.log(X40)', 'np.log(X28)', 'np.exp(X19)', 'np.sqrt(X37)', 'np.log(X5)', 'X29*X31', 'X23*X24', 'X36*X1', 'np.exp(X10)', 'X2*X12', 'np.exp(X4)', 'np.exp(X23)', 'np.log(X35)', 'np.log(X29)', 'np.exp(X28)', 'np.log(X3)', 'np.log(X20)', 'X40*X26', 'np.sqrt(X11)', 'np.exp(X9)', 'X7*X1', 'np.sqrt(X10)', 'np.log(X7)', 'X39*X24', 'X24*X34', 'X7*X18', 'np.log(X15)', 'np.log(X38)', 'X18*X3', 'np.log(X37)', 'np.log(X39)', 'np.log(X13)', 'X36*X9', 'X36*X18', 'np.sqrt(X27)', 'X9*X30', 'X15*X12', 'np.exp(X12)', 'np.exp(X14)', 'np.exp(X18)', 'np.sqrt(X20)', 'np.sqrt(X7)', 'np.sqrt(X40)', 'np.sqrt(X28)', 'np.sqrt(X31)', 'X22*X30', 'np.sqrt(X18)', 'np.log(X9)', 'X37*X28', 'np.exp(X11)', 'X12*X39', 'X17*X24', 'np.sqrt(X1)', 'X17*X1', 'np.sqrt(X30)', 'np.log(X27)', 'X9*X4', 'np.sqrt(X4)', 'X12*X13', 'np.exp(X22)', 'X38*X16', 'np.exp(X3)', 'X34*X24', 'X6*X19', 'np.sqrt(X21)', 'X7*X15', 'np.sqrt(X16)', 'np.exp(X24)', 'np.log(X19)', 'np.log(X16)', 'np.exp(X31)', 'X15*X26', 'np.sqrt(X38)', 'X13*X32', 'X32*X10', 'np.exp(X40)'}",0.839924005
7,"{'X8*X6', 'np.log(X36)', 'np.exp(X16)', 'np.sqrt(X34)', 'np.exp(X8)', 'X7*X35', 'np.log(X11)', 'X35*X36', 'X3*X15', 'np.sqrt(X33)', 'X5*X3', 'X17*X31', 'np.log(X26)', 'X27*X36', 'np.exp(X37)', 'np.exp(X7)', 'np.sqrt(X5)', 'np.log(X17)', 'X3*X27', 'np.exp(X21)', 'np.sqrt(X9)', 'np.exp(X2)', 'np.exp(X6)', 'X13*X40', 'np.exp(X15)', 'np.log(X25)', 'X17*X27', 'np.log(X6)', 'X25*X13', 'X22*X25', 'np.log(X32)', 'np.log(X40)', 'np.exp(X25)', 'np.log(X4)', 'X31*X4', 'X6*X20', 'np.sqrt(X36)', 'X14*X26', 'np.exp(X10)', 'X19*X27', 'np.exp(X4)', 'np.log(X29)', 'X30*X28', 'X18*X33', 'np.log(X3)', 'np.exp(X29)', 'np.log(X20)', 'np.sqrt(X11)', 'np.exp(X9)', 'X7*X1', 'X29*X16', 'np.sqrt(X10)', 'np.log(X7)', 'np.sqrt(X2)', 'X33*X14', 'X1*X31', 'X5*X5', 'np.log(X15)', 'X16*X6', 'np.log(X37)', 'np.log(X13)', 'X14*X16', 'X34*X13', 'X19*X2', 'X38*X22', 'X40*X31', 'X22*X29', 'np.sqrt(X20)', 'X28*X21', 'X3*X23', 'X29*X21', 'np.sqrt(X7)', 'np.sqrt(X29)', 'np.sqrt(X40)', 'np.log(X12)', 'np.sqrt(X28)', 'X25*X14', 'np.sqrt(X31)', 'X4*X18', 'np.exp(X36)', 'X37*X20', 'X22*X40', 'np.log(X31)', 'np.sqrt(X18)', 'np.log(X9)', 'X33*X21', 'X3*X6', 'X6*X21', 'np.sqrt(X1)', 'np.log(X18)', 'np.sqrt(X30)', 'np.log(X8)', 'np.log(X27)', 'X31*X34', 'np.sqrt(X4)', 'X29*X39', 'np.sqrt(X8)', 'np.exp(X27)', 'X36*X40', 'X28*X8', 'X24*X6', 'np.exp(X22)', 'np.log(X10)', 'np.sqrt(X24)', 'np.sqrt(X21)', 'np.sqrt(X6)', 'np.sqrt(X16)', 'np.exp(X24)', 'np.log(X19)', 'np.log(X22)', 'np.exp(X35)', 'np.log(X16)', 'np.sqrt(X15)', 'np.exp(X31)', 'X23*X37', 'X7*X16', 'X21*X26', 'X25*X34', 'np.log(X23)', 'X5*X9', 'np.exp(X40)'}",0.842264461
8,"{'np.exp(X16)', 'X39*X22', 'np.exp(X13)', 'np.sqrt(X34)', 'np.exp(X8)', 'X10*X7', 'X2*X25', 'X32*X22', 'np.log(X11)', 'np.exp(X5)', 'np.sqrt(X14)', 'np.sqrt(X33)', 'X17*X31', 'np.log(X34)', 'np.exp(X37)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'np.sqrt(X13)', 'X23*X22', 'X26*X28', 'X28*X25', 'np.log(X24)', 'np.exp(X34)', 'np.exp(X32)', 'np.exp(X21)', 'X19*X21', 'X30*X7', 'np.log(X30)', 'X3*X21', 'np.log(X25)', 'np.exp(X6)', 'X26*X21', 'X12*X34', 'X3*X38', 'np.exp(X15)', 'np.sqrt(X3)', 'np.log(X6)', 'np.log(X2)', 'np.log(X32)', 'np.log(X40)', 'np.exp(X25)', 'np.log(X28)', 'np.sqrt(X37)', 'X21*X2', 'np.log(X4)', 'np.log(X5)', 'X21*X4', 'X19*X22', 'np.sqrt(X36)', 'np.sqrt(X23)', 'np.exp(X10)', 'np.sqrt(X22)', 'X38*X38', 'np.exp(X30)', 'X35*X35', 'np.exp(X23)', 'np.sqrt(X39)', 'np.log(X35)', 'np.log(X29)', 'X40*X12', 'np.sqrt(X17)', 'X34*X39', 'np.log(X3)', 'np.log(X20)', 'np.sqrt(X11)', 'np.exp(X9)', 'X4*X28', 'X25*X9', 'X17*X19', 'np.log(X14)', 'np.sqrt(X10)', 'np.exp(X26)', 'X31*X27', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'np.log(X15)', 'np.log(X38)', 'X36*X21', 'X14*X10', 'np.log(X37)', 'np.log(X39)', 'np.log(X13)', 'np.sqrt(X19)', 'X32*X39', 'X1*X3', 'np.sqrt(X27)', 'X34*X13', 'X16*X16', 'np.exp(X12)', 'np.exp(X14)', 'X35*X32', 'np.sqrt(X20)', 'X22*X27', 'np.sqrt(X29)', 'np.sqrt(X7)', 'np.log(X12)', 'np.sqrt(X31)', 'X35*X7', 'np.exp(X36)', 'X37*X20', 'X19*X33', 'np.sqrt(X18)', 'X15*X3', 'X30*X36', 'X11*X2', 'np.log(X9)', 'X37*X28', 'np.exp(X11)', 'X36*X15', 'X37*X14', 'np.sqrt(X1)', 'X31*X13', 'X31*X35', 'np.log(X18)', 'X35*X12', 'np.sqrt(X30)', 'X11*X3', 'np.log(X8)', 'X32*X1', 'X7*X20', 'np.log(X33)', 'np.sqrt(X32)', 'X11*X29', 'X15*X32', 'np.sqrt(X4)', 'X28*X3', 'np.sqrt(X8)', 'np.exp(X27)', 'np.sqrt(X26)', 'np.exp(X39)', 'X24*X6', 'X24*X3', 'X24*X38', 'np.exp(X22)', 'X6*X35', 'X14*X36', 'np.log(X10)', 'X13*X38', 'X35*X10', 'np.exp(X33)', 'X22*X8', 'np.exp(X3)', 'np.sqrt(X24)', 'X28*X28', 'X6*X22', 'X11*X31', 'X25*X33', 'X12*X17', 'np.sqrt(X6)', 'np.exp(X1)', 'np.sqrt(X16)', 'np.exp(X24)', 'np.exp(X35)', 'np.log(X22)', 'np.sqrt(X15)', 'np.log(X21)', 'X26*X30', 'X19*X34', 'np.exp(X31)', 'X26*X20', 'np.sqrt(X38)', 'X40*X33', 'np.log(X1)', 'np.exp(X40)'}",0.839245989
9,"{'X25*X36', 'np.log(X36)', 'X20*X28', 'np.sqrt(X34)', 'np.exp(X8)', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X14)', 'np.sqrt(X33)', 'X25*X19', 'np.log(X26)', 'np.exp(X37)', 'np.exp(X7)', 'np.sqrt(X5)', 'X3*X22', 'np.sqrt(X12)', 'np.sqrt(X13)', 'np.log(X17)', 'np.exp(X20)', 'X13*X20', 'np.exp(X34)', 'np.log(X24)', 'np.exp(X32)', 'np.exp(X21)', 'X17*X6', 'np.sqrt(X9)', 'X11*X7', 'np.log(X30)', 'np.exp(X6)', 'X26*X21', 'np.exp(X15)', 'np.sqrt(X3)', 'np.log(X2)', 'np.exp(X25)', 'np.log(X40)', 'X33*X40', 'np.exp(X19)', 'np.sqrt(X37)', 'X1*X12', 'np.sqrt(X36)', 'X22*X10', 'X30*X8', 'np.sqrt(X23)', 'np.exp(X10)', 'np.sqrt(X22)', 'np.exp(X30)', 'np.exp(X4)', 'np.exp(X23)', 'np.log(X35)', 'np.sqrt(X39)', 'np.log(X29)', 'X11*X32', 'np.sqrt(X17)', 'X26*X6', 'np.exp(X28)', 'X13*X28', 'X34*X9', 'np.log(X3)', 'np.exp(X29)', 'np.log(X20)', 'X27*X39', 'X27*X4', 'np.exp(X9)', 'np.sqrt(X11)', 'X16*X31', 'X40*X1', 'X7*X39', 'np.log(X14)', 'np.sqrt(X10)', 'X3*X19', 'np.exp(X26)', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'X33*X14', 'X5*X33', 'np.log(X38)', 'X13*X7', 'np.log(X13)', 'X8*X29', 'np.sqrt(X19)', 'X35*X4', 'X32*X39', 'np.sqrt(X27)', 'X27*X3', 'X11*X15', 'np.exp(X14)', 'np.exp(X18)', 'X22*X9', 'np.sqrt(X20)', 'X37*X3', 'np.sqrt(X7)', 'np.sqrt(X29)', 'np.log(X12)', 'np.sqrt(X28)', 'np.sqrt(X31)', 'X13*X13', 'X38*X14', 'X37*X20', 'np.log(X31)', 'np.sqrt(X18)', 'X15*X3', 'np.log(X9)', 'np.exp(X11)', 'X36*X15', 'X2*X39', 'np.sqrt(X1)', 'X40*X21', 'X6*X14', 'np.exp(X38)', 'X15*X36', 'X9*X29', 'np.sqrt(X30)', 'np.log(X8)', 'np.log(X27)', 'X23*X39', 'X8*X2', 'X29*X19', 'np.log(X33)', 'np.sqrt(X32)', 'X6*X28', 'np.sqrt(X8)', 'np.sqrt(X26)', 'X2*X36', 'X20*X18', 'np.exp(X39)', 'X20*X5', 'X2*X33', 'np.exp(X22)', 'np.log(X10)', 'X9*X23', 'np.sqrt(X35)', 'X16*X12', 'X7*X29', 'X24*X11', 'np.exp(X33)', 'X20*X31', 'np.exp(X3)', 'np.sqrt(X24)', 'X11*X33', 'np.sqrt(X21)', 'X13*X29', 'X4*X11', 'np.sqrt(X6)', 'np.exp(X24)', 'np.exp(X35)', 'np.sqrt(X15)', 'np.exp(X31)', 'X7*X16', 'X21*X6', 'np.sqrt(X38)', 'np.log(X23)', 'X20*X24', 'np.log(X1)'}",0.842202923
