,ind,R2
0,"{'np.sqrt(X1)', 'np.sqrt(X3)', 'X8*X14', 'X5*X14', 'np.log(X9)', 'np.exp(X6)', 'np.log(X2)', 'np.exp(X8)', 'np.exp(X9)', 'np.exp(X14)', 'X11*X5', 'np.exp(X2)', 'X2*X12', 'np.exp(X5)', 'np.log(X13)', 'np.log(X5)', 'X7*X5', 'X14*X3', 'np.exp(X11)', 'X10*X3', 'np.log(X12)', 'X3*X9', 'X7*X7', 'X6*X9', 'np.sqrt(X6)', 'np.log(X6)', 'np.sqrt(X12)', 'X11*X6', 'np.exp(X3)', 'X14*X14', 'np.sqrt(X5)', 'X8*X11', 'np.sqrt(X13)', 'X3*X7', 'np.sqrt(X14)', 'np.exp(X7)', 'np.log(X10)', 'np.sqrt(X7)'}",0.862341365
1,"{'np.exp(X6)', 'np.sqrt(X3)', 'X9*X14', 'np.log(X9)', 'np.exp(X2)', 'np.exp(X8)', 'np.exp(X9)', 'np.exp(X14)', 'X4*X13', 'X2*X14', 'X7*X4', 'X13*X14', 'np.log(X13)', 'X8*X4', 'X7*X3', 'np.log(X5)', 'np.sqrt(X9)', 'np.sqrt(X10)', 'np.exp(X11)', 'np.log(X12)', 'X13*X2', 'X5*X2', 'np.log(X8)', 'np.log(X10)', 'np.sqrt(X4)', 'X11*X4', 'X5*X3', 'X9*X12', 'X7*X7', 'np.sqrt(X8)', 'X2*X7', 'np.log(X6)', 'np.sqrt(X11)', 'np.sqrt(X6)', 'np.sqrt(X12)', 'X9*X3', 'X13*X11', 'np.log(X14)', 'np.exp(X3)', 'X11*X13', 'np.exp(X1)', 'np.sqrt(X5)', 'X10*X10', 'np.sqrt(X13)', 'np.exp(X4)', 'X3*X6', 'np.sqrt(X14)', 'np.exp(X7)', 'X1*X10', 'np.sqrt(X2)', 'X2*X1', 'np.sqrt(X7)'}",0.894196878
2,"{'np.sqrt(X1)', 'np.exp(X6)', 'X14*X10', 'X9*X4', 'np.log(X9)', 'np.exp(X8)', 'X4*X14', 'np.exp(X14)', 'X4*X13', 'np.exp(X5)', 'np.log(X1)', 'X13*X9', 'np.exp(X9)', 'np.exp(X12)', 'np.log(X5)', 'np.log(X4)', 'np.sqrt(X9)', 'X2*X4', 'X7*X5', 'np.sqrt(X10)', 'np.exp(X11)', 'np.log(X12)', 'np.sqrt(X2)', 'np.log(X8)', 'X5*X1', 'np.log(X10)', 'np.sqrt(X4)', 'X5*X3', 'X7*X7', 'X14*X6', 'X4*X1', 'np.sqrt(X8)', 'np.sqrt(X11)', 'np.log(X6)', 'np.sqrt(X6)', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X3)', 'X4*X9', 'X8*X3', 'np.sqrt(X5)', 'X13*X6', 'np.sqrt(X13)', 'np.exp(X4)', 'X10*X9', 'X8*X5', 'np.sqrt(X14)', 'X3*X12', 'np.exp(X7)', 'X1*X7', 'X2*X1'}",0.879816198
3,"{'X7*X12', 'np.sqrt(X1)', 'np.sqrt(X3)', 'np.log(X2)', 'X1*X11', 'np.log(X9)', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X8)', 'np.exp(X9)', 'np.exp(X14)', 'np.log(X1)', 'np.log(X13)', 'np.exp(X12)', 'np.log(X5)', 'np.log(X4)', 'np.sqrt(X9)', 'X1*X5', 'X6*X7', 'np.sqrt(X10)', 'np.log(X12)', 'np.exp(X11)', 'X13*X7', 'X9*X9', 'np.sqrt(X2)', 'X5*X1', 'X3*X9', 'np.sqrt(X4)', 'X8*X10', 'X9*X12', 'np.sqrt(X8)', 'np.sqrt(X6)', 'np.log(X6)', 'np.sqrt(X11)', 'np.sqrt(X12)', 'X6*X5', 'np.log(X14)', 'np.log(X3)', 'X6*X12', 'np.sqrt(X5)', 'np.exp(X4)', 'np.sqrt(X13)', 'np.sqrt(X14)', 'np.exp(X7)', 'X14*X2', 'np.log(X10)', 'np.exp(X10)', 'np.sqrt(X7)'}",0.879899316
4,"{'np.log(X2)', 'X5*X14', 'np.log(X9)', 'np.exp(X2)', 'np.sqrt(X3)', 'np.exp(X8)', 'np.exp(X9)', 'np.exp(X14)', 'np.exp(X5)', 'np.log(X1)', 'X7*X4', 'np.log(X13)', 'X7*X3', 'np.log(X5)', 'np.exp(X12)', 'X13*X4', 'np.sqrt(X9)', 'np.sqrt(X10)', 'np.exp(X11)', 'np.log(X12)', 'X10*X3', 'np.log(X8)', 'np.log(X11)', 'X7*X2', 'X8*X10', 'X14*X6', 'np.sqrt(X8)', 'X2*X3', 'X12*X6', 'np.log(X6)', 'np.sqrt(X6)', 'X13*X10', 'np.sqrt(X12)', 'X14*X8', 'np.log(X14)', 'np.log(X3)', 'X11*X13', 'np.exp(X1)', 'np.sqrt(X5)', 'np.exp(X4)', 'np.sqrt(X13)', 'X8*X8', 'X2*X9', 'X10*X2', 'np.sqrt(X14)', 'np.exp(X7)', 'np.sqrt(X2)', 'np.sqrt(X7)'}",0.881751388
5,"{'X8*X14', 'np.sqrt(X3)', 'np.log(X2)', 'np.exp(X6)', 'np.log(X9)', 'X7*X13', 'X11*X9', 'X1*X3', 'X1*X2', 'np.exp(X9)', 'X2*X12', 'X13*X1', 'np.exp(X12)', 'np.sqrt(X9)', 'X6*X7', 'X12*X14', 'np.sqrt(X10)', 'np.exp(X11)', 'X7*X1', 'np.log(X11)', 'X7*X7', 'X4*X8', 'np.sqrt(X8)', 'X2*X1', 'np.log(X6)', 'np.sqrt(X6)', 'np.sqrt(X12)', 'X14*X8', 'np.log(X14)', 'np.exp(X3)', 'X2*X5', 'X6*X12', 'np.sqrt(X5)', 'np.exp(X4)', 'np.sqrt(X13)', 'X2*X9', 'X10*X9', 'np.sqrt(X14)', 'np.exp(X7)', 'X4*X5', 'X5*X12', 'np.log(X10)', 'np.exp(X10)', 'X12*X5'}",0.881046118
6,"{'np.sqrt(X1)', 'np.exp(X6)', 'X9*X1', 'np.log(X2)', 'np.log(X9)', 'np.log(X7)', 'np.exp(X2)', 'np.exp(X8)', 'np.exp(X9)', 'np.exp(X14)', 'np.log(X1)', 'X13*X1', 'np.log(X5)', 'X4*X11', 'np.exp(X12)', 'np.log(X4)', 'np.sqrt(X10)', 'np.exp(X11)', 'np.log(X12)', 'X10*X3', 'X6*X10', 'X13*X8', 'X3*X9', 'np.log(X11)', 'np.sqrt(X4)', 'X8*X10', 'X4*X8', 'np.sqrt(X8)', 'X10*X7', 'np.log(X6)', 'np.sqrt(X11)', 'np.sqrt(X6)', 'X11*X8', 'np.sqrt(X12)', 'X13*X11', 'np.log(X14)', 'np.exp(X3)', 'X6*X4', 'X10*X5', 'np.exp(X1)', 'X8*X3', 'np.sqrt(X5)', 'np.sqrt(X13)', 'np.sqrt(X14)', 'np.exp(X7)', 'X12*X4', 'np.exp(X10)', 'np.sqrt(X7)'}",0.85320607
7,"{'np.exp(X6)', 'X7*X13', 'np.log(X9)', 'np.exp(X2)', 'X5*X7', 'np.exp(X14)', 'X4*X13', 'np.exp(X5)', 'np.log(X1)', 'X13*X9', 'np.exp(X12)', 'X1*X13', 'X1*X5', 'np.log(X12)', 'X10*X3', 'X4*X10', 'X1*X14', 'np.sqrt(X4)', 'X11*X4', 'X4*X8', 'X13*X12', 'np.log(X6)', 'np.sqrt(X11)', 'np.log(X14)', 'np.exp(X1)', 'X11*X3', 'np.sqrt(X5)', 'np.sqrt(X14)', 'np.sqrt(X7)', 'X12*X5', 'X11*X14', 'X8*X14', 'np.sqrt(X1)', 'np.log(X2)', 'np.sqrt(X3)', 'np.log(X7)', 'np.exp(X8)', 'X4*X14', 'np.exp(X9)', 'X8*X7', 'np.sqrt(X9)', 'np.sqrt(X10)', 'X12*X14', 'X13*X8', 'np.log(X8)', 'np.log(X11)', 'X11*X12', 'np.sqrt(X6)', 'np.sqrt(X12)', 'X5*X11', 'X11*X6', 'np.exp(X3)', 'np.log(X3)', 'X14*X11', 'X12*X2', 'np.exp(X4)', 'X3*X12', 'np.exp(X7)', 'X11*X7', 'np.sqrt(X2)'}",0.879915127
8,"{'X5*X8', 'np.exp(X13)', 'X9*X8', 'np.exp(X6)', 'np.sqrt(X3)', 'np.log(X2)', 'np.log(X9)', 'X7*X10', 'X2*X2', 'np.exp(X9)', 'np.exp(X14)', 'X7*X11', 'X1*X2', 'X8*X4', 'np.log(X5)', 'np.log(X4)', 'np.sqrt(X10)', 'np.log(X12)', 'np.sqrt(X2)', 'X5*X2', 'np.log(X8)', 'X11*X10', 'np.log(X11)', 'np.sqrt(X4)', 'X7*X2', 'X7*X7', 'X14*X6', 'np.sqrt(X8)', 'X2*X1', 'np.log(X6)', 'X5*X5', 'X6*X8', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X3)', 'np.exp(X1)', 'X13*X6', 'np.exp(X4)', 'np.sqrt(X5)', 'np.sqrt(X14)', 'np.exp(X7)', 'X5*X12', 'X12*X6', 'np.exp(X10)', 'np.sqrt(X7)'}",0.882040934
9,"{'X14*X10', 'np.exp(X6)', 'np.sqrt(X3)', 'np.log(X2)', 'np.log(X9)', 'np.exp(X2)', 'X5*X7', 'np.exp(X9)', 'X1*X2', 'np.exp(X14)', 'X1*X12', 'np.log(X1)', 'X5*X9', 'np.exp(X12)', 'X1*X13', 'np.log(X4)', 'np.sqrt(X9)', 'np.sqrt(X10)', 'np.exp(X11)', 'X9*X7', 'X2*X8', 'np.sqrt(X2)', 'X4*X7', 'np.sqrt(X4)', 'X8*X1', 'X8*X10', 'np.sqrt(X11)', 'np.log(X6)', 'np.sqrt(X6)', 'np.sqrt(X12)', 'X1*X1', 'np.log(X14)', 'np.exp(X3)', 'np.log(X3)', 'X14*X11', 'np.sqrt(X5)', 'np.sqrt(X14)', 'np.exp(X7)', 'np.exp(X10)', 'X5*X12', 'np.log(X10)', 'X3*X14'}",0.877807359
