,ind,R2
0,"{'X8*X9', 'X15*X11', 'np.exp(X16)', 'X16*X10', 'X2*X4', 'np.exp(X8)', 'X17*X3', 'X4*X13', 'np.exp(X14)', 'np.exp(X18)', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X7)', 'np.sqrt(X14)', 'X15*X5', 'X12*X10', 'X8*X1', 'np.sqrt(X18)', 'X11*X4', 'np.exp(X11)', 'np.sqrt(X5)', 'X13*X16', 'np.sqrt(X13)', 'np.sqrt(X1)', 'X19*X16', 'X17*X6', 'np.log(X18)', 'X4*X2', 'X11*X5', 'np.sqrt(X9)', 'X19*X9', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X15)', 'np.sqrt(X3)', 'np.log(X6)', 'X3*X7', 'X17*X7', 'X5*X12', 'np.sqrt(X4)', 'np.sqrt(X8)', 'np.exp(X19)', 'np.log(X4)', 'X16*X8', 'np.exp(X10)', 'np.log(X10)', 'X2*X12', 'np.exp(X4)', 'X16*X12', 'np.exp(X3)', 'np.log(X3)', 'X7*X15', 'X4*X7', 'X10*X11', 'np.sqrt(X6)', 'np.exp(X9)', 'np.sqrt(X16)', 'X7*X1', 'np.exp(X1)', 'np.log(X19)', 'np.log(X14)', 'np.sqrt(X15)', 'X9*X10', 'X9*X12', 'np.exp(X17)', 'np.sqrt(X2)', 'np.log(X15)', 'X2*X18', 'X10*X10', 'X14*X4', 'np.log(X1)'}",0.6148462994375867
1,"{'np.exp(X19)', 'np.log(X5)', 'np.exp(X12)', 'np.exp(X14)', 'np.exp(X18)', 'X6*X6', 'np.log(X12)', 'np.exp(X10)', 'np.sqrt(X14)', 'np.log(X10)', 'X9*X2', 'np.sqrt(X18)', 'np.exp(X3)', 'np.sqrt(X17)', 'X18*X6', 'np.sqrt(X5)', 'np.sqrt(X6)', 'np.sqrt(X16)', 'np.log(X17)', 'np.log(X19)', 'np.log(X16)', 'X6*X17', 'X1*X13', 'np.log(X18)', 'np.exp(X17)', 'X17*X5', 'np.exp(X2)', 'np.exp(X6)', 'X16*X6', 'np.exp(X15)', 'np.sqrt(X3)'}",0.6187732223167854
2,"{'X1*X14', 'np.exp(X13)', 'np.exp(X8)', 'np.exp(X12)', 'X11*X15', 'np.exp(X14)', 'np.exp(X18)', 'X10*X7', 'np.sqrt(X7)', 'X5*X1', 'X9*X17', 'X15*X5', 'X11*X13', 'np.sqrt(X18)', 'np.log(X9)', 'np.exp(X11)', 'np.exp(X7)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'X5*X13', 'np.sqrt(X13)', 'X12*X5', 'X17*X16', 'np.sqrt(X1)', 'np.log(X17)', 'X17*X10', 'X13*X17', 'np.log(X18)', 'X11*X5', 'np.sqrt(X9)', 'X16*X11', 'np.log(X8)', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X15)', 'X1*X4', 'np.sqrt(X3)', 'np.log(X6)', 'np.log(X2)', 'X1*X5', 'X11*X19', 'X9*X9', 'np.sqrt(X8)', 'np.log(X4)', 'np.log(X5)', 'X14*X13', 'np.log(X10)', 'X19*X14', 'np.sqrt(X17)', 'np.exp(X3)', 'np.log(X3)', 'np.sqrt(X6)', 'np.sqrt(X11)', 'np.exp(X9)', 'np.sqrt(X16)', 'np.exp(X1)', 'np.log(X14)', 'np.log(X16)', 'np.sqrt(X10)', 'X6*X12', 'np.exp(X17)', 'np.log(X7)', 'X2*X2', 'X17*X5', 'X7*X16', 'np.log(X13)', 'np.sqrt(X19)', 'X5*X9', 'X14*X16'}",0.6154799832901039
3,"{'np.sqrt(X8)', 'np.exp(X19)', 'np.exp(X16)', 'np.log(X4)', 'np.log(X5)', 'np.exp(X13)', 'np.exp(X12)', 'X6*X8', 'X12*X6', 'X12*X15', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X7)', 'np.log(X12)', 'np.sqrt(X14)', 'np.exp(X10)', 'X1*X9', 'np.log(X6)', 'np.log(X10)', 'np.exp(X4)', 'X19*X15', 'X16*X4', 'X4*X16', 'np.sqrt(X17)', 'X13*X3', 'np.log(X9)', 'np.exp(X11)', 'np.exp(X7)', 'np.sqrt(X13)', 'np.sqrt(X6)', 'np.exp(X1)', 'np.exp(X9)', 'np.sqrt(X16)', 'np.sqrt(X1)', 'np.log(X17)', 'X7*X6', 'X1*X7', 'np.log(X14)', 'np.log(X16)', 'np.sqrt(X10)', 'np.sqrt(X15)', 'X6*X12', 'X9*X14', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'X15*X13', 'X14*X5', 'np.log(X15)', 'X14*X8', 'np.exp(X2)', 'X8*X4', 'X14*X4', 'np.log(X1)', 'np.sqrt(X3)', 'np.log(X13)', 'np.sqrt(X19)', 'X16*X7', 'X19*X8'}",0.6116847374937644
4,"{'np.exp(X16)', 'np.exp(X13)', 'np.exp(X12)', 'np.exp(X8)', 'np.exp(X18)', 'X12*X15', 'np.exp(X5)', 'np.sqrt(X7)', 'np.log(X12)', 'X3*X4', 'np.sqrt(X14)', 'X1*X19', 'np.sqrt(X18)', 'np.log(X9)', 'np.exp(X11)', 'np.exp(X7)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'X19*X18', 'X5*X14', 'X4*X5', 'X17*X10', 'np.log(X18)', 'np.sqrt(X9)', 'X16*X9', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X15)', 'X12*X1', 'np.log(X6)', 'np.log(X2)', 'X12*X19', 'X17*X7', 'np.exp(X19)', 'X7*X7', 'X5*X17', 'X13*X2', 'X19*X11', 'X2*X1', 'X10*X17', 'np.sqrt(X17)', 'np.exp(X3)', 'X18*X2', 'np.log(X3)', 'X10*X12', 'np.sqrt(X6)', 'np.sqrt(X11)', 'np.exp(X1)', 'np.log(X14)', 'np.log(X16)', 'X5*X6', 'np.exp(X17)', 'np.log(X7)', 'X6*X15', 'np.log(X1)', 'np.log(X13)', 'X2*X9', 'X16*X19'}",0.6152451856181232
5,"{'np.sqrt(X4)', 'np.sqrt(X8)', 'np.exp(X19)', 'np.exp(X16)', 'np.log(X4)', 'X3*X3', 'np.exp(X13)', 'np.exp(X12)', 'np.exp(X8)', 'X11*X14', 'X14*X7', 'np.exp(X14)', 'np.exp(X18)', 'X6*X16', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X7)', 'X13*X15', 'np.log(X12)', 'np.sqrt(X14)', 'np.exp(X10)', 'X1*X9', 'X9*X17', 'X2*X17', 'np.log(X10)', 'np.log(X6)', 'np.exp(X4)', 'X3*X16', 'np.exp(X3)', 'np.sqrt(X17)', 'np.log(X9)', 'X16*X3', 'np.exp(X11)', 'np.exp(X7)', 'np.sqrt(X5)', 'np.log(X3)', 'X12*X9', 'X14*X15', 'np.sqrt(X6)', 'X17*X16', 'np.sqrt(X1)', 'np.log(X17)', 'X10*X15', 'np.exp(X1)', 'np.sqrt(X16)', 'np.exp(X9)', 'np.log(X19)', 'np.log(X14)', 'np.log(X16)', 'np.sqrt(X10)', 'np.sqrt(X15)', 'np.log(X18)', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'np.sqrt(X9)', 'np.log(X8)', 'X7*X10', 'X11*X7', 'X5*X4', 'np.log(X15)', 'np.exp(X6)', 'X15*X4', 'np.exp(X15)', 'X12*X4', 'X12*X14', 'X3*X13', 'np.sqrt(X3)', 'np.log(X13)', 'np.sqrt(X19)', 'X2*X9', 'np.log(X2)', 'X16*X19'}",0.6158890142650346
6,"{'np.exp(X13)', 'np.exp(X8)', 'np.exp(X14)', 'np.exp(X18)', 'np.log(X11)', 'X5*X15', 'np.sqrt(X7)', 'np.log(X12)', 'np.sqrt(X14)', 'X10*X6', 'X8*X1', 'np.sqrt(X18)', 'np.log(X9)', 'np.exp(X7)', 'X13*X10', 'np.sqrt(X5)', 'np.sqrt(X12)', 'np.sqrt(X13)', 'X14*X15', 'np.log(X17)', 'X7*X6', 'X8*X19', 'np.log(X18)', 'X17*X6', 'X16*X11', 'np.log(X8)', 'X16*X14', 'X14*X8', 'np.exp(X2)', 'np.exp(X6)', 'X8*X2', 'np.exp(X15)', 'np.log(X6)', 'X8*X15', 'np.sqrt(X4)', 'X8*X18', 'np.exp(X19)', 'np.log(X4)', 'X15*X9', 'np.log(X5)', 'X7*X7', 'X18*X18', 'np.exp(X10)', 'np.log(X10)', 'X14*X13', 'X19*X11', 'np.exp(X4)', 'X6*X9', 'np.exp(X3)', 'np.sqrt(X17)', 'X13*X3', 'np.log(X3)', 'X10*X12', 'np.sqrt(X6)', 'np.sqrt(X11)', 'np.sqrt(X16)', 'np.exp(X1)', 'np.log(X19)', 'X1*X7', 'np.log(X14)', 'np.log(X16)', 'X3*X18', 'np.sqrt(X10)', 'X19*X3', 'np.log(X7)', 'np.sqrt(X2)', 'X10*X8', 'X5*X7', 'X10*X19', 'X5*X5', 'np.log(X15)', 'X16*X6', 'X15*X15', 'np.log(X13)', 'np.sqrt(X19)', 'X9*X16'}",0.6149966350824908
7,"{'np.sqrt(X4)', 'X19*X6', 'np.sqrt(X8)', 'X15*X12', 'np.exp(X16)', 'np.exp(X19)', 'np.log(X4)', 'np.log(X5)', 'np.exp(X13)', 'np.exp(X12)', 'np.exp(X8)', 'X10*X16', 'np.exp(X14)', 'np.exp(X18)', 'X18*X4', 'X6*X16', 'np.exp(X5)', 'np.log(X11)', 'np.sqrt(X7)', 'np.log(X12)', 'np.sqrt(X14)', 'X13*X5', 'X3*X11', 'X9*X17', 'np.log(X6)', 'np.log(X10)', 'X9*X2', 'np.sqrt(X18)', 'X15*X3', 'np.sqrt(X17)', 'np.log(X9)', 'X9*X11', 'np.exp(X7)', 'np.sqrt(X12)', 'np.log(X3)', 'X12*X17', 'np.sqrt(X6)', 'np.sqrt(X11)', 'np.exp(X1)', 'X10*X11', 'np.sqrt(X1)', 'np.log(X17)', 'X8*X16', 'X18*X10', 'np.log(X19)', 'X13*X17', 'np.log(X14)', 'np.sqrt(X10)', 'np.sqrt(X15)', 'np.log(X18)', 'np.exp(X17)', 'np.log(X7)', 'np.sqrt(X2)', 'X7*X4', 'np.sqrt(X9)', 'np.log(X8)', 'X15*X17', 'X11*X7', 'X2*X10', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X15)', 'np.log(X1)', 'np.sqrt(X3)', 'np.log(X13)', 'np.sqrt(X19)', 'X2*X9', 'np.log(X2)', 'X1*X5'}",0.6152488750467512
8,"{'X15*X10', 'X9*X9', 'np.sqrt(X4)', 'X17*X14', 'X18*X19', 'np.exp(X16)', 'np.log(X4)', 'X7*X7', 'X10*X5', 'X3*X3', 'np.exp(X13)', 'X17*X3', 'np.exp(X14)', 'X12*X6', 'X5*X17', 'X12*X15', 'X3*X17', 'np.log(X11)', 'X2*X16', 'np.exp(X4)', 'X5*X3', 'X14*X19', 'np.sqrt(X18)', 'np.sqrt(X17)', 'np.log(X9)', 'np.sqrt(X13)', 'np.sqrt(X6)', 'X8*X5', 'np.exp(X9)', 'np.sqrt(X1)', 'np.log(X19)', 'np.log(X16)', 'X17*X6', 'np.log(X18)', 'np.sqrt(X9)', 'X7*X4', 'X18*X11', 'X14*X5', 'np.exp(X2)', 'X8*X2', 'np.sqrt(X3)', 'np.log(X13)', 'np.sqrt(X19)', 'np.log(X6)'}",0.6156842021215622
9,"{'X8*X6', 'X19*X10', 'np.exp(X13)', 'np.exp(X8)', 'np.exp(X18)', 'X1*X8', 'np.log(X11)', 'np.log(X12)', 'X3*X11', 'X2*X13', 'X8*X1', 'np.sqrt(X18)', 'np.log(X9)', 'np.sqrt(X5)', 'np.sqrt(X12)', 'np.sqrt(X1)', 'np.log(X17)', 'X7*X13', 'np.log(X18)', 'np.sqrt(X9)', 'np.log(X8)', 'X2*X5', 'X12*X8', 'np.exp(X2)', 'np.exp(X6)', 'np.exp(X15)', 'np.log(X6)', 'X17*X2', 'np.log(X2)', 'np.sqrt(X4)', 'X19*X6', 'np.sqrt(X8)', 'np.exp(X19)', 'np.log(X4)', 'X4*X4', 'X13*X15', 'np.exp(X10)', 'np.log(X10)', 'np.exp(X4)', 'X3*X16', 'X2*X1', 'X19*X15', 'X14*X19', 'np.sqrt(X17)', 'X6*X19', 'X17*X15', 'np.log(X3)', 'X12*X17', 'np.sqrt(X6)', 'np.exp(X1)', 'np.exp(X9)', 'np.sqrt(X16)', 'np.sqrt(X11)', 'np.log(X19)', 'X17*X19', 'np.sqrt(X10)', 'np.log(X16)', 'np.sqrt(X15)', 'np.exp(X17)', 'np.log(X7)', 'np.log(X15)', 'np.log(X1)', 'np.log(X13)'}",0.615511709157469
